,City,Population,Robbery,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
425,Vacaville,"96,693",97,"2,159",236,"1,723",200,15
426,Vallejo,"121,257",351,"4,986","2,352","1,536","1,098",40
427,Ventura,"110,077",124,"3,900",598,"3,042",260,11
428,Vernon3,115,12,290,30,171,89,0
429,Victorville,"123,332",229,"4,008","1,095","2,285",628,39
430,Villa Park,"6,002",1,83,34,47,2,0
431,Visalia,"130,405",130,"3,995",814,"2,621",560,11
432,Vista,"99,097",95,"1,989",344,"1,328",317,6
433,Walnut,"30,469",17,322,143,157,22,2
434,Walnut Creek,"68,530",28,"2,540",342,"1,960",238,4
435,Waterford3,"8,800",0,124,31,60,33,0
436,Watsonville,"53,581",104,"1,930",254,"1,261",415,4
437,Weed,"2,836",4,115,23,83,9,0
438,West Covina,"109,030",99,"2,982",400,"2,095",487,10
439,West Hollywood,"36,256",90,"1,400",209,"1,102",89,11
440,Westlake Village,"8,522",2,195,47,142,6,1
441,Westminster,"92,640",118,"2,950",502,"2,123",325,6
442,Westmorland3,"2,278",3,7,5,2,0,0
443,West Sacramento,"52,622",90,"1,457",256,"1,030",171,6
444,Wheatland,"3,482",0,59,14,34,11,0
445,Whittier3,"87,807",90,"2,531",319,"1,797",415,11
446,Wildomar,"36,154",8,619,143,353,123,0
447,Williams3,"5,205",2,70,14,43,13,4
448,Willits,"4,856",2,64,15,34,15,2
449,Willows,"6,074",4,190,24,148,18,2
450,Windsor,"27,565",16,352,35,300,17,5
451,Winters,"7,023",1,111,17,80,14,1
452,Woodlake3,"7,751",3,134,32,87,15,2
453,Woodland,"57,911",51,"1,798",326,"1,230",242,15
454,Yorba Linda,"68,698",7,650,152,463,35,1
455,Yountville3,"3,030",0,46,7,36,3,0
456,Yreka,"7,507",4,309,85,188,36,1
457,Yuba City,"65,974",66,"1,792",429,"1,160",203,14
458,Yucaipa,"53,498",22,"1,309",263,838,208,12
459,Yucca Valley,"21,672",30,664,217,381,66,8
